Link_Text,Link_URL
BOLA.NET,https://www.bola.net/
BOLA.COM,https://www.bola.com/
MERDEKA,https://www.merdeka.com/
LIPUTAN6,https://www.liputan6.com/
OTOSIA,https://www.otosia.com/
KAPANLAGI,https://www.kapanlagi.com/
FIMELA,https://www.fimela.com/
MORE ,#
DREAM.CO.ID,https://www.dream.co.id/
BRILIO.NET,https://www.brilio.net/
,https://www.bola.net/
,https://www.facebook.com/bola.net
,https://twitter.com/bolanet
,https://www.youtube.com/channel/UCzTu5m37Hxx5O_Ruo29hTIw
,https://www.bola.net/feed/
HOME,https://www.bola.net/
TRENDING,https://www.bola.net/trending/
EROPA ,https://www.bola.net/bola_eropa.html
LIGA INGGRIS,https://www.bola.net/inggris/
LIGA ITALIA,https://www.bola.net/italia/
LIGA SPANYOL,https://www.bola.net/spanyol/
LIGA CHAMPIONS,https://www.bola.net/champions/
LIGA EUROPA,https://www.bola.net/uefa/
BUNDESLIGA,https://www.bola.net/bundesliga/
LAIN-LAIN,https://www.bola.net/liga_eropa_lain/
DUNIA ,https://www.bola.net/bola_dunia.html
PIALA DUNIA,https://www.bola.net/piala_dunia/
PIALA EROPA,https://www.bola.net/piala_eropa/
AMERIKA LATIN,https://www.bola.net/amerika_latin/
ASIA,https://www.bola.net/asia/
LAIN-LAIN,https://www.bola.net/bola_dunia_lainnya/
INDONESIA ,https://www.bola.net/bola_indonesia.html
LIGA INDONESIA,https://www.bola.net/indonesia/
TIM NASIONAL,https://www.bola.net/tim_nasional/
VIDEO,https://www.bola.net/video/
BOLATAINMENT,https://www.bola.net/bolatainment/
JADWAL & SKOR ,https://www.bola.net/jadwal-pertandingan/
SKOR TERKINI,https://www.bola.net/hasil-pertandingan/
JADWAL PERTANDINGAN,https://www.bola.net/jadwal-pertandingan/
JADWAL TV,https://www.bola.net/jadwal_televisi/
KLASEMEN,https://www.bola.net/klasemen/inggris.html
TOPSKOR,https://www.bola.net/topskor/inggris.html
RAGAM ,https://www.bola.net/ragam.html
SPESIAL SOCCER,https://www.bola.net/editorial/
BERITA FOTO,https://www.bola.net/galeri/
WALLPAPER,https://www.bola.net/wallpaper/
SPORT ,https://www.bola.net/olahraga_lain.html
BASKET,https://www.bola.net/basket/
BULU TANGKIS,https://www.bola.net/bulutangkis/
TENIS,https://www.bola.net/tenis/
OTOMOTIF,https://www.bola.net/otomotif/
VOLI,https://www.bola.net/voli/
SPORT,https://www.bola.net/olahraga_lain_lain/
TRENDING TAG,https://www.bola.net/tag/
# Olimpiade Paris 2024,https://www.bola.net/tag/olimpiade-paris-2024/
# Timnas Indonesia,https://www.bola.net/tim_nasional/
# Bursa Transfer Pemain,https://www.bola.net/tag/bursa-transfer-pemain/
# Piala Presiden 2024,https://www.bola.net/tag/piala-presiden-2024/
# La Liga,https://www.bola.net/tag/la-liga/
# Sportyfact,https://www.bola.net/tag/sportyfact/
# Liga Inggris,https://www.bola.net/tag/live-streaming-liga-inggris-di-vidio/
"

Di Mana Mereka Sekarang? 4 Pemain yang Diminta Lio...
",https://www.bola.net/editorial/di-mana-mereka-sekarang-4-pemain-yang-diminta-lionel-messi-untuk-direkrut-barcelona-pada-2017-7b7f83.html
"

6 Pemain Italia yang Memperkuat Liverpool Sebelum ...
",https://www.bola.net/editorial/6-pemain-italia-yang-memperkuat-liverpool-sebelum-federico-chiesa-gagal-total-5690a0.html
"

6 Gelandang Spanyol yang Pernah Membela Arsenal Se...
",https://www.bola.net/editorial/6-gelandang-spanyol-yang-pernah-membela-arsenal-sebelum-mikel-merino-adakah-yang-sukses-b67e25.html
"

5 Klub Terakhir yang Sukses Menjuarai Liga Champio...
",https://www.bola.net/editorial/5-klub-terakhir-yang-sukses-menjuarai-liga-champions-ada-yang-masih-ingat-b7a851.html
"

5 Pengguna Nomor Punggung 14 di Liverpool Sebelum ...
",https://www.bola.net/editorial/5-pengguna-nomor-punggung-14-di-liverpool-sebelum-federico-chiesa-e43a10.html
"

5 Pemain Asal Belanda yang Berkostum Juventus Sebe...
",https://www.bola.net/editorial/5-pemain-asal-belanda-yang-berkostum-juventus-sebelum-teun-koopmeiners-d780ce.html
"

5 Pemain Premier League yang Berpotensi Hengkang d...
",https://www.bola.net/editorial/5-pemain-premier-league-yang-berpotensi-hengkang-di-deadline-day-bf2498.html
"

5 Rekrutan Terakhir AC Milan dari Premier League S...
",https://www.bola.net/editorial/5-rekrutan-terakhir-ac-milan-dari-premier-league-sebelum-emerson-royal-f018f8.html
"
",https://www.bola.net/tim_nasional/4-pertemuan-terakhir-indonesia-vs-australia-kebobolan-8-3x-kalah-dan-1x-imbang-d2796e.html
"
                        4 Pertemuan Terakhir Indonesia vs Australia: Kebobolan 8, 3x Kalah dan 1x Imbang
                    ",https://www.bola.net/tim_nasional/4-pertemuan-terakhir-indonesia-vs-australia-kebobolan-8-3x-kalah-dan-1x-imbang-d2796e.html
"
",https://www.bola.net/tim_nasional/jadwal-indonesia-vs-australia-tayang-di-mana-dan-jam-berapa-7a8ec2.html
"
                        Jadwal Indonesia vs Australia: Tayang di Mana dan Jam Berapa?
                    ",https://www.bola.net/tim_nasional/jadwal-indonesia-vs-australia-tayang-di-mana-dan-jam-berapa-7a8ec2.html
"
",https://www.bola.net/tim_nasional/magis-jersey-putih-timnas-indonesia-vietnam-dipermalukan-selanjutnya-australia-b15369.html
"
                        Magis Jersey Putih Timnas Indonesia: Vietnam Dipermalukan, Selanjutnya Australia?
                    ",https://www.bola.net/tim_nasional/magis-jersey-putih-timnas-indonesia-vietnam-dipermalukan-selanjutnya-australia-b15369.html
"
",https://www.bola.net/piala_eropa/hasil-lengkap-uefa-nations-league-2024-283a6a.html
"
                        Hasil Lengkap UEFA Nations League 2024
                    ",https://www.bola.net/piala_eropa/hasil-lengkap-uefa-nations-league-2024-283a6a.html
"
",https://www.bola.net/tim_nasional/ranking-fifa-timnas-indonesia-bakal-naik-5-tingkat-jika-kalahkan-australia-bagaimana-jika-kal-f1e76c.html
"
                        Ranking FIFA Timnas Indonesia Bakal Naik 5 Tingkat jika Kalahkan Australia, Bagaimana jika Kalah?
                    ",https://www.bola.net/tim_nasional/ranking-fifa-timnas-indonesia-bakal-naik-5-tingkat-jika-kalahkan-australia-bagaimana-jika-kal-f1e76c.html
"

4 Pertemuan Terakhir Indonesia vs Australia: Kebobolan 8, 3x Kalah dan 1x Imbang
",https://www.bola.net/tim_nasional/4-pertemuan-terakhir-indonesia-vs-australia-kebobolan-8-3x-kalah-dan-1x-imbang-d2796e.html
"

Jadwal Indonesia vs Australia: Tayang di Mana dan Jam Berapa?
",https://www.bola.net/tim_nasional/jadwal-indonesia-vs-australia-tayang-di-mana-dan-jam-berapa-7a8ec2.html
"

Magis Jersey Putih Timnas Indonesia: Vietnam Dipermalukan, Selanjutnya Australia?
",https://www.bola.net/tim_nasional/magis-jersey-putih-timnas-indonesia-vietnam-dipermalukan-selanjutnya-australia-b15369.html
"

Hasil Lengkap UEFA Nations League 2024
",https://www.bola.net/piala_eropa/hasil-lengkap-uefa-nations-league-2024-283a6a.html
"

Ranking FIFA Timnas Indonesia Bakal Naik 5 Tingkat jika Kalahkan Australia, Bagaimana jika Kalah?
",https://www.bola.net/tim_nasional/ranking-fifa-timnas-indonesia-bakal-naik-5-tingkat-jika-kalahkan-australia-bagaimana-jika-kal-f1e76c.html
,https://www.bola.net/open-play/
"Shin Tae-yong: Australia Lebih Kuat Sejak Gabung Asia, Di Oseania Lawannya Cuma Selandia Baru",https://www.bola.net/open-play/shin-tae-yong-australia-lebih-kuat-sejak-gabung-asia-di-oseania-lawannya-cuma-selandia-baru-69072f.html
VIDEO: Timnas Australia Tak Sabar Rasakan Atmosfer Bermain di Stadion Gelora Bung Karno,https://www.bola.net/open-play/video-timnas-australia-tak-sabar-rasakan-atmosfer-bermain-di-stadion-gelora-bung-karno-248ed6.html
Pengamanan Sesi Latihan Timnas Indonesia Diperketat Usai Dimas Drajad jadi Korban Pencurian,https://www.bola.net/open-play/pengamanan-sesi-latihan-timnas-indonesia-diperketat-usai-dimas-drajad-jadi-korban-pencurian-e682c7.html
VIDEO: Latihan Terakhir Timnas Indonesia Jelang Lawan Australia,https://www.bola.net/open-play/video-latihan-terakhir-timnas-indonesia-jelang-lawan-australia-e58356.html
Rahasia Kesuksesan Maarten Paes Gagalkan Penalti Pemain Arab Saudi,https://www.bola.net/open-play/rahasia-kesuksesan-maarten-paes-gagalkan-penalti-pemain-arab-saudi-29423a.html
Kabar Timnas Hari Ini: Shin Tae-yong Ungkap Kondisi Terkini Pemain Indonesia Jelang Melawan Australia,https://www.bola.net/open-play/kabar-timnas-hari-ini-shin-tae-yong-ungkap-kondisi-terkini-pemain-indonesia-jelang-melawan-au-6180f7.html
Open Play Lainnya,https://www.bola.net/open-play/
SPECIAL SOCCER,https://www.bola.net/editorial/
"

",https://www.bola.net/editorial/6-pemain-inter-milan-dengan-gaji-tertinggi-pilar-utama-di-giuseppe-meazza-b00b5e.html
6 Pemain Inter Milan dengan Gaji Tertinggi: Pilar Utama di Giuseppe Meazza,https://www.bola.net/editorial/6-pemain-inter-milan-dengan-gaji-tertinggi-pilar-utama-di-giuseppe-meazza-b00b5e.html
"

",https://www.bola.net/editorial/6-pemain-manchester-united-yang-kontraknya-habis-pada-2025-1c191d.html
6 Pemain Manchester United yang Kontraknya Habis pada 2025,https://www.bola.net/editorial/6-pemain-manchester-united-yang-kontraknya-habis-pada-2025-1c191d.html
"

",https://www.bola.net/editorial/5-pemain-dengan-nomor-punggung-7-di-chelsea-sebelum-pedro-neto-2fc214.html
5 Pemain dengan Nomor Punggung 7 di Chelsea Sebelum Pedro Neto,https://www.bola.net/editorial/5-pemain-dengan-nomor-punggung-7-di-chelsea-sebelum-pedro-neto-2fc214.html
"

",https://www.bola.net/editorial/3-mantan-anak-buah-josep-guardiola-yang-mencetak-gol-lebih-banyak-ketimbang-erling-haaland-4d2684.html
3 Mantan Anak Buah Josep Guardiola yang Mencetak Gol Lebih Banyak Ketimbang Erling Haaland,https://www.bola.net/editorial/3-mantan-anak-buah-josep-guardiola-yang-mencetak-gol-lebih-banyak-ketimbang-erling-haaland-4d2684.html
"

",https://www.bola.net/editorial/5-calon-pengganti-virgil-van-dijk-di-liverpool-480b19.html
5 Calon Pengganti Virgil van Dijk di Liverpool,https://www.bola.net/editorial/5-calon-pengganti-virgil-van-dijk-di-liverpool-480b19.html
"

",https://www.bola.net/editorial/cristiano-ronaldo-dan-5-gelar-ballon-dor-perjalanan-menuju-kejayaan-3f0172.html
Cristiano Ronaldo dan 5 Gelar Ballon d'Or: Perjalanan Menuju Kejayaan,https://www.bola.net/editorial/cristiano-ronaldo-dan-5-gelar-ballon-dor-perjalanan-menuju-kejayaan-3f0172.html
Special Soccer Lainnya,https://www.bola.net/editorial/
"
BOLA INTERNASIONAL
",https://www.bola.net/bola_eropa.html
PIALA EROPA,https://www.bola.net/piala_eropa/
Kembalinya Kepercayaan Diri Gli Azzurri,https://www.bola.net/piala_eropa/kembalinya-kepercayaan-diri-gli-azzurri-abe451.html
LIGA INGGRIS,https://www.bola.net/inggris/
"Bukan Gara-gara Pelatih, Raheem Sterling Harus Salahkan Dirinya Sendiri Terkait Kegagalannya di Chelsea",https://www.bola.net/inggris/bukan-gara-gara-pelatih-raheem-sterling-harus-salahkan-dirinya-sendiri-terkait-kegagalannya-d-641ffb.html
LIGA INGGRIS,https://www.bola.net/inggris/
"Tak Bisa Tangani Cristiano Ronaldo, Erik Ten Hag Disebut Bodoh",https://www.bola.net/inggris/tak-bisa-tangani-cristiano-ronaldo-erik-ten-hag-disebut-bodoh-791f45.html
PIALA EROPA,https://www.bola.net/piala_eropa/
Akhir dari Puasa Gol 3 Tahun Moise Kean di Timnas Italia,https://www.bola.net/piala_eropa/akhir-dari-puasa-gol-3-tahun-moise-kean-di-timnas-italia-c1d846.html
PIALA EROPA,https://www.bola.net/piala_eropa/
"Dua Sisi Davide Frattesi: Kalah Bersaing di Inter Milan, tapi Jadi Andalan Timnas Italia",https://www.bola.net/piala_eropa/dua-sisi-davide-frattesi-kalah-bersaing-di-inter-milan-tapi-jadi-andalan-timnas-italia-e347df.html
LIGA EROPA LAIN,https://www.bola.net/liga_eropa_lain/
Terkuak! Ternyata Ini Alasan Fabio Vieira Hengkang dari Arsenal,https://www.bola.net/liga_eropa_lain/terkuak-ternyata-ini-alasan-fabio-vieira-hengkang-dari-arsenal-eb49e4.html
LIGA INGGRIS,https://www.bola.net/inggris/
"Hilal Main Belum Terlihat, Rasmus Hojlund Masih Harus Bersabar",https://www.bola.net/inggris/hilal-main-belum-terlihat-rasmus-hojlundmasih-harus-bersabar-30afe0.html
OPEN PLAY,https://www.bola.net/open-play/
"Shin Tae-yong: Australia Lebih Kuat Sejak Gabung Asia, Di Oseania Lawannya Cuma Selandia Baru",https://www.bola.net/open-play/shin-tae-yong-australia-lebih-kuat-sejak-gabung-asia-di-oseania-lawannya-cuma-selandia-baru-69072f.html
OPEN PLAY,https://www.bola.net/open-play/
VIDEO: Timnas Australia Tak Sabar Rasakan Atmosfer Bermain di Stadion Gelora Bung Karno,https://www.bola.net/open-play/video-timnas-australia-tak-sabar-rasakan-atmosfer-bermain-di-stadion-gelora-bung-karno-248ed6.html
PIALA EROPA,https://www.bola.net/piala_eropa/
"Italia setelah Melempem di Euro 2024: Bungkam Prancis, lalu Gulingkan Israel",https://www.bola.net/piala_eropa/italia-setelah-melempem-di-euro-2024-bungkam-prancis-lalu-gulingkan-israel-8f1cee.html
OPEN PLAY,https://www.bola.net/open-play/
Pengamanan Sesi Latihan Timnas Indonesia Diperketat Usai Dimas Drajad jadi Korban Pencurian,https://www.bola.net/open-play/pengamanan-sesi-latihan-timnas-indonesia-diperketat-usai-dimas-drajad-jadi-korban-pencurian-e682c7.html
OPEN PLAY,https://www.bola.net/open-play/
VIDEO: Latihan Terakhir Timnas Indonesia Jelang Lawan Australia,https://www.bola.net/open-play/video-latihan-terakhir-timnas-indonesia-jelang-lawan-australia-e58356.html
LIGA INGGRIS,https://www.bola.net/inggris/
Jadwal Lengkap Premier League 2024/2025 di SCTV dan Vidio,https://www.bola.net/inggris/jadwal-lengkap-premier-league-2024-2025-di-sctv-dan-vidio-c5d3a0.html
LIGA INGGRIS,https://www.bola.net/inggris/
"MU Bersih-bersih Skuad, Dua Pemain Ini Fix Bakal Angkat Kaki Musim Depan",https://www.bola.net/inggris/mu-bersih-bersih-skuad-dua-pemain-ini-fix-bakal-angkat-kaki-musim-depan-d01ce1.html
PIALA EROPA,https://www.bola.net/piala_eropa/
"Menang Dua Kali Beruntun di UEFA Nations League, Luciano Spalletti Puji Kedewasaan Timnas Italia",https://www.bola.net/piala_eropa/menang-dua-kali-beruntun-di-uefa-nations-league-luciano-spalletti-puji-kedewasaan-timnas-ital-71e244.html
PIALA EROPA,https://www.bola.net/piala_eropa/
Prediksi Inggris vs Finlandia 11 September 2024,https://www.bola.net/piala_eropa/prediksi-inggris-vs-finlandia-11-september-2024-ecffad.html
PIALA EROPA,https://www.bola.net/piala_eropa/
Prediksi Belanda vs Jerman 11 September 2024,https://www.bola.net/piala_eropa/prediksi-belanda-vs-jerman-11-september-2024-b30932.html
PIALA EROPA,https://www.bola.net/piala_eropa/
Prediksi Hungaria vs Bosnia-Herzegovina 11 September 2024,https://www.bola.net/piala_eropa/prediksi-hungaria-vs-bosnia-herzegovina-11-september-2024-f01eb3.html
PIALA DUNIA,https://www.bola.net/piala_dunia/
Prediksi Oman vs Korea Selatan 10 September 2024,https://www.bola.net/piala_dunia/prediksi-oman-vs-korea-selatan-10-september-2024-a79ae3.html
PIALA DUNIA,https://www.bola.net/piala_dunia/
Prediksi China vs Arab Saudi 10 September 2024,https://www.bola.net/piala_dunia/prediksi-china-vs-arab-saudi-10-september-2024-6fca74.html
PIALA DUNIA,https://www.bola.net/piala_dunia/
Prediksi Bahrain vs Jepang 10 September 2024,https://www.bola.net/piala_dunia/prediksi-bahrain-vs-jepang-10-september-2024-5dd4fe.html
LIGA INGGRIS,https://www.bola.net/inggris/
"Kecewa Liverpool Rekrut Kiper Valencia, Caoimhin Kelleher: Saya Ingin Menjadi Nomor Satu!",https://www.bola.net/inggris/kecewa-liverpool-rekrut-kiper-valencia-caoimhin-kelleher-saya-ingin-menjadi-nomor-satu-e9e3a1.html
LIGA INGGRIS,https://www.bola.net/inggris/
"Erik ten Hag Akui MU Butuh 'Operasi Jantung', Ralf Rangnick: Sepertinya Saya Benar",https://www.bola.net/inggris/erik-ten-hag-akui-mu-butuh-operasi-jantung-ralf-rangnick-sepertinya-saya-benar-95ecba.html
BOLA DUNIA LAINNYA,https://www.bola.net/bola_dunia_lainnya/
